name,manufacturer,price,series,microarchitecture,coreFamily,socket,coreCount,threadCount,baseClockGHz,boostClockGHz,l2CacheMBs,l3CacheMBs,tdpWatts,integratedGraphics,memoryMaxGBs,supportsEcc,includesCooler,hasSmt,smtType,URL
Intel Xeon E5-2687W V4,Intel,$2513.90+,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,12,24,3,3.5,3 MB,30 MB,160,None,1536 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/YMbkcf/intel-cpu-bx80660e52687v4
AMD Ryzen 3 3200G,AMD,$66.00 ,AMD Ryzen 3,Zen+,Picasso,AM4,4,4,3.6,4,2 MB,4 MB,65,Radeon Vega 8,64 GB,FALSE,TRUE,FALSE,None,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox
AMD Ryzen 9 7950X,AMD,$501.00 ,AMD Ryzen 9,Zen 4,Raphael,AM5,16,32,4.5,5.7,16 MB,64 MB,170,Radeon,128 GB,TRUE,FALSE,TRUE,None,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof
AMD Ryzen 5 7500F,AMD,N/A,AMD Ryzen 5,Zen 4,Raphael,AM5,6,12,3.7,5,6 MB,32 MB,65,None,128 GB,TRUE,TRUE,TRUE,None,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box
Intel Core i3-14100F,Intel,$96.99 ,Intel Core i3,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,4,8,3.5,4.7,5 MB,12 MB,58,None,192 GB,TRUE,TRUE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/R7qrxr/intel-core-i3-14100f-35-ghz-quad-core-processor-bx8071514100f
Intel Core i7-13700K,Intel,$509.86+,Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,24,3.4,5.4,24 MB,30 MB,125,Intel UHD Graphics 770,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k
Intel Core i7-8700K,Intel,$194.00 ,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,12,3.7,4.7,1.5 MB,12 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k
AMD Ryzen 5 3400G,AMD,$88.00 ,AMD Ryzen 5,Zen+,Picasso,AM4,4,8,3.7,4.2,2 MB,4 MB,65,Radeon Vega 11,64 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/XP6qqs/amd-ryzen-5-3400g-37-ghz-quad-core-processor-ryzen-5-3400g
AMD Ryzen 5 3600X,AMD,N/A,AMD Ryzen 5,Zen 2,Matisse,AM4,6,12,3.8,4.4,3 MB,32 MB,95,None,128 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box
AMD Ryzen 5 5600XT,AMD,$150.00 ,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,12,3.7,4.7,3 MB,32 MB,65,None,128 GB,TRUE,TRUE,TRUE,None,https://pcpartpicker.com/product/GY6NnQ/amd-ryzen-5-5600xt-37-ghz-6-core-processor-100-100001585box
Intel Core Ultra 5 245KF,Intel,$218.94 ,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA1851,14,14,4.2,5.2,26 MB,24 MB,125,None,256 GB,FALSE,FALSE,FALSE,None,https://pcpartpicker.com/product/k7cgXL/intel-core-ultra-5-245kf-42-ghz-14-core-processor-bx80768245kf
AMD Ryzen 9 5900XT,AMD,$309.00 ,AMD Ryzen 9,Zen 3,Vermeer,AM4,16,32,3.3,4.8,8 MB,64 MB,105,None,128 GB,FALSE,FALSE,TRUE,None,https://pcpartpicker.com/product/nYvD4D/amd-ryzen-9-5900xt-33-ghz-16-core-processor-100-100001581wof
Intel Core i9-9900K,Intel,$449.00 ,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,16,3.6,5,2 MB,16 MB,95,Intel UHD Graphics 630,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k
Intel Core i9-14900KS,Intel,$512.99 ,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,32,3.2,6.2,32 MB,36 MB,150,Intel UHD Graphics 770,192 GB,TRUE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks
AMD Ryzen 7 2700X,AMD,$255.49 ,AMD Ryzen 7,Zen+,Pinnacle Ridge,AM4,8,16,3.7,4.3,4 MB,16 MB,105,None,64 GB,FALSE,TRUE,TRUE,None,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox
Intel Core i7-7700K,Intel,$185.00 ,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA1151,4,8,4.2,4.5,1 MB,8 MB,91,Intel HD Graphics 630,64 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k
Intel Core i9-12900KF,Intel,$279.97 ,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,24,3.2,5.2,14 MB,30 MB,125,None,128 GB,FALSE,FALSE,TRUE,Hyper-Threading,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf
