name,Price,manufacturer,Socket,Memory Type,Memory Slots,Form Factor,Memory Max,Chipset,Has Wifi,Color,SATA Ports,M.2 Slots,memoryFormFactor,URL
Gigabyte X299 AORUS Ultra Gaming Pro,N/A,Gigabyte,LGA2066,DDR4,8,ATX,128 GB,Intel X299,TRUE,Black,8,3,DIMM,https://pcpartpicker.com/product/FzCD4D/gigabyte-x299-aorus-ultra-gaming-pro-atx-lga2066-motherboard-x299-aorus-ultra-gaming-pro
Gigabyte Z370M AORUS Gaming,N/A,Gigabyte,LGA1151,DDR4,4,Micro ATX,64 GB,Intel Z370,FALSE,Black / Silver,6,2,DIMM,https://pcpartpicker.com/product/8ghKHx/gigabyte-z370m-aorus-gaming-micro-atx-lga1151-motherboard-z370m-aorus-gaming
MSI X470 GAMING PRO CARBON AC,N/A,MSI,AM4,DDR4,4,ATX,64 GB,AMD X470,TRUE,Black / Silver,8,2,DIMM,https://pcpartpicker.com/product/MXzkcf/msi-x470-gaming-pro-carbon-ac-atx-am4-motherboard-x470-gaming-pro-carbon-ac
MSI B360M BAZOOKA PLUS,N/A,MSI,LGA1151,DDR4,4,Micro ATX,64 GB,Intel B360,FALSE,Black / Silver,4,1,DIMM,https://pcpartpicker.com/product/YsGxFT/msi-b360m-bazooka-plus-micro-atx-lga1151-motherboard-b360m-bazooka-plus
ECS KAM1-I (V1.0),N/A,ECS,AM1,DDR3,2,Mini ITX,16 GB,AMD AM1,FALSE,Black / Gray,2,0,DIMM,https://pcpartpicker.com/product/9tZFf7/ecs-kam1-i-v10-mini-itx-am1-motherboard-kam1-i-v10
Supermicro X11SCL-IF,N/A,Supermicro,LGA1151,DDR4,2,Mini ITX,64 GB,Intel C246,FALSE,Green / Silver,4,1,DIMM,https://pcpartpicker.com/product/6qtQzy/supermicro-x11scl-if-mini-itx-lga1151-motherboard-x11scl-if
MSI B250M PRO OPT BOOST,N/A,MSI,LGA1151,DDR4,2,Micro ATX,32 GB,Intel B250,FALSE,Black,6,0,DIMM,https://pcpartpicker.com/product/mPgQzy/msi-b250m-pro-opt-boost-micro-atx-lga1151-motherboard-b250m-pro-opt-boost
Gigabyte Z490 AORUS ULTRA G2,N/A,Gigabyte,LGA1200,DDR4,4,ATX,128 GB,Intel Z490,TRUE,Black / Red,6,4,DIMM,https://pcpartpicker.com/product/kBYQzy/gigabyte-z490-aorus-ultra-g2-atx-lga1200-motherboard-z490-aorus-ultra-g2
ASRock A520M-HDVP,N/A,ASRock,AM4,DDR4,2,Micro ATX,64 GB,AMD A520,FALSE,Black / Silver,4,1,DIMM,https://pcpartpicker.com/product/6TcRsY/asrock-a520m-hdvp-micro-atx-am4-motherboard-a520m-hdvp
Colorful CVN X570M GAMING PRO V14,N/A,Colorful,AM4,DDR4,4,Micro ATX,128 GB,AMD X570,FALSE,Black / Silver,6,2,DIMM,https://pcpartpicker.com/product/p4FKHx/colorful-cvn-x570m-gaming-pro-v14-micro-atx-am4-motherboard-cvn-x570m-gaming-pro-v14
Asus EX-B560M-V5,N/A,Asus,LGA1200,DDR4,2,Micro ATX,64 GB,Intel B560,FALSE,Red / Black,4,2,DIMM,https://pcpartpicker.com/product/2FXJ7P/asus-ex-b560m-v5-micro-atx-lga1200-motherboard-ex-b560m-v5
Asus PRIME B560M-A/CSM,N/A,Asus,LGA1200,DDR4,4,Micro ATX,128 GB,Intel B560,FALSE,Silver / Black,6,3,DIMM,https://pcpartpicker.com/product/btWzK8/asus-prime-b560m-acsm-micro-atx-lga1200-motherboard-prime-b560m-acsm
Asus PRIME H510M-A/CSM,N/A,Asus,LGA1200,DDR4,2,Micro ATX,64 GB,Intel H510,FALSE,Black / Silver,4,1,DIMM,https://pcpartpicker.com/product/3CrRsY/asus-prime-h510m-acsm-micro-atx-lga1200-motherboard-prime-h510m-acsm
Asus Pro H510M-C/CSM,N/A,Asus,LGA1200,DDR4,2,Micro ATX,64 GB,Intel H510,FALSE,Green,4,1,DIMM,https://pcpartpicker.com/product/xrcG3C/asus-pro-h510m-ccsm-micro-atx-lga1200-motherboard-pro-h510m-ccsm
Asus PRIME H410I-PLUS/CSM,N/A,Asus,LGA1200,DDR4,2,Mini ITX,64 GB,Intel H410,FALSE,Black,4,1,DIMM,https://pcpartpicker.com/product/7DJgXL/asus-prime-h410i-pluscsm-mini-itx-lga1200-motherboard-prime-h410i-pluscsm
Gigabyte B660M GAMING X,N/A,Gigabyte,LGA1700,DDR5,4,Micro ATX,192 GB,Intel B660,FALSE,Black,4,2,DIMM,https://pcpartpicker.com/product/wbZ9TW/gigabyte-b660m-gaming-x-micro-atx-lga1700-motherboard-b660m-gaming-x
Biostar H610MX-E,N/A,Biostar,LGA1700,DDR4,2,Micro ATX,64 GB,Intel H610,FALSE,Gray / Black,4,2,DIMM,https://pcpartpicker.com/product/B3M48d/biostar-h610mx-e-micro-atx-lga1700-motherboard-h610mx-e
