name,price,manufacturer,formFactorInches,interfaceType,sizeTBs,RPM,cache,URL
Western Digital WD Red Pro,$479.99 ,Western Digital,3.5,SATA 6.0 Gb/s,24,7200,512,https://pcpartpicker.com/product/PgWJ7P/western-digital-red-pro-24-tb-35-7200-rpm-internal-hard-drive-wd240kfgx
Seagate Exos X20,$621.76 ,Seagate,3.5,SATA 6.0 Gb/s,20,7200,256,https://pcpartpicker.com/product/WGrRsY/seagate-exos-x20-20-tb-35-7200rpm-internal-hard-drive-st20000nm007d
Seagate BarraCuda Pro Compute,$63.00+,Seagate,2.5,SATA 6.0 Gb/s,1,7200,128,https://pcpartpicker.com/product/TDkj4D/seagate-barracuda-pro-compute-1tb-25-7200rpm-internal-hard-drive-st1000lm049
Seagate IronWolf NAS,$262.66 ,Seagate,3.5,SATA 6.0 Gb/s,6,5400,256,https://pcpartpicker.com/product/3Zt9TW/seagate-ironwolf-nas-6-tb-35-5400-rpm-internal-hard-drive-st6000vn006
Toshiba DT01ACA200,N/A,Toshiba,3.5,SATA 6.0 Gb/s,2,7200,64,https://pcpartpicker.com/product/fpCwrH/toshiba-internal-hard-drive-dt01aca200
Toshiba MG10 512e,$359.00 ,Toshiba,3.5,SATA 6.0 Gb/s,20,7200,512,https://pcpartpicker.com/product/JkJp99/toshiba-mg10-512e-20-tb-35-7200-rpm-internal-hard-drive-mg10aca20te
Seagate Pipeline HD,N/A,Seagate,3.5,SATA 3.0 Gb/s,0.5,5900,8,https://pcpartpicker.com/product/VYFPxr/seagate-internal-hard-drive-st3500312cs
Western Digital WD Red Pro,$149.99 ,Western Digital,3.5,SATA 6.0 Gb/s,4,7200,256,https://pcpartpicker.com/product/zwtLrH/western-digital-red-pro-4-tb-35-7200-rpm-internal-hard-drive-wd4005ffbx
Toshiba N300 Pro,$353.19+,Toshiba,3.5,SATA 6.0 Gb/s,18,7200,512,https://pcpartpicker.com/product/XqjBD3/toshiba-n300-pro-18-tb-35-7200rpm-internal-hard-drive-hdwg51jxzstb
Western Digital Blue,$38.49 ,Western Digital,2.5,SATA 6.0 Gb/s,1,5400,16,https://pcpartpicker.com/product/pjmLrH/western-digital-internal-hard-drive-wd10spcx
Seagate BarraCuda,$62.00+,Seagate,3.5,SATA 3.0 Gb/s,1,7200,32,https://pcpartpicker.com/product/VFkD4D/seagate-internal-hard-drive-st31000528as
Seagate BarraCuda Pro,$395.00+,Seagate,3.5,SATA 6.0 Gb/s,10,7200,256,https://pcpartpicker.com/product/dqbkcf/seagate-barracuda-pro-10tb-35-7200rpm-internal-hard-drive-st10000dm0004
Toshiba MQ01ABD050,$54.99+,Toshiba,2.5,SATA 3.0 Gb/s,0.5,5400,8,https://pcpartpicker.com/product/pDYXsY/toshiba-internal-hard-drive-mq01abd050
Western Digital WD Red Pro,$329.99 ,Western Digital,3.5,SATA 6.0 Gb/s,14,7200,512,https://pcpartpicker.com/product/4Q3NnQ/western-digital-red-pro-14-tb-35-7200-rpm-internal-hard-drive-wd142kfgx
Seagate IronWolf Pro,$319.99+,Seagate,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/t7BTwP/seagate-ironwolf-pro-14tb-35-7200rpm-internal-hard-drive-st14000ne0008
Western Digital DC HC530,$349.45+,Western Digital,3.5,SATA 6.0 Gb/s,14,7200,512,https://pcpartpicker.com/product/7ML48d/western-digital-hgst-dc-hc530-14-tb-35-7200rpm-internal-hard-drive-wuh721414ale6l4
Toshiba MD07ACA,N/A,Toshiba,3.5,SATA 6.0 Gb/s,0.012,7200,256,https://pcpartpicker.com/product/MsV2FT/toshiba-md07aca-12-gb-35-7200-rpm-internal-hard-drive-md07aca12t
Western Digital Ultrastar DC HC560,$512.99 ,Western Digital,3.5,SATA 6.0 Gb/s,22,7200,512,https://pcpartpicker.com/product/6GGhP6/western-digital-ultrastar-dc-hc560-22-tb-35-7200-rpm-internal-hard-drive-0f48155
Western Digital Blue,$84.99 ,Western Digital,3.5,SATA 6.0 Gb/s,3,5400,256,https://pcpartpicker.com/product/QgJp99/western-digital-blue-3-tb-35-5400-rpm-internal-hard-drive-wd30ezax
Seagate IronWolf Pro NAS,$299.00 ,Seagate,3.5,SATA 6.0 Gb/s,14,7200,256,https://pcpartpicker.com/product/w7RwrH/seagate-ironwolf-pro-nas-14-tb-35-7200-rpm-internal-hard-drive-st14000nt001
Seagate Exos X16,$394.99+,Seagate,3.5,SATA 6.0 Gb/s,16,7200,256,https://pcpartpicker.com/product/YkLwrH/seagate-exos-x16-16-tb-35-7200rpm-internal-hard-drive-st16000nm003g
Western Digital WD Red Pro,$439.99 ,Western Digital,3.5,SATA 6.0 Gb/s,20,7200,512,https://pcpartpicker.com/product/hwCCmG/western-digital-wd-red-pro-20-tb-35-7200-rpm-internal-hard-drive-wd202kfgx
Western Digital Gold,$431.99+,Western Digital,3.5,SATA 6.0 Gb/s,22,7200,512,https://pcpartpicker.com/product/62pzK8/western-digital-gold-22-tb-35-7200-rpm-internal-hard-drive-wd221kryz
Western Digital Caviar Green,$59.99 ,Western Digital,3.5,SATA 6.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/xQ4gXL/western-digital-internal-hard-drive-wd10ezrx
Seagate BarraCuda,$144.99+,Seagate,2.5,SATA 6.0 Gb/s,4,5400,128,https://pcpartpicker.com/product/ky98TW/seagate-barracuda-4tb-25-5400rpm-internal-hard-drive-st4000lm024
Western Digital AV-25,$34.99 ,Western Digital,2.5,SATA 3.0 Gb/s,1,5400,16,https://pcpartpicker.com/product/fMh9TW/western-digital-internal-hard-drive-wd10juct
Western Digital WD Red Pro,$299.99 ,Western Digital,3.5,SATA 6.0 Gb/s,12,7200,512,https://pcpartpicker.com/product/YCpQzy/western-digital-red-pro-12-tb-35-7200-rpm-internal-hard-drive-wd122kfbx
Seagate Surveillance HDD,N/A,Seagate,3.5,SATA 6.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/hJx9TW/seagate-internal-hard-drive-st1000vx001
Toshiba HDD2J92,N/A,Toshiba,2.5,SATA 3.0 Gb/s,0.64,5400,8,https://pcpartpicker.com/product/XcDwrH/toshiba-internal-hard-drive-hdd2j92
Western Digital Blue,$99.99+,Western Digital,3.5,SATA 6.0 Gb/s,4,5400,64,https://pcpartpicker.com/product/jp2rxr/western-digital-internal-hard-drive-wd40ezrz
Seagate Constellation ES.2,$45.00+,Seagate,3.5,SAS 6.0 Gb/s,3,7200,64,https://pcpartpicker.com/product/K8Np99/seagate-internal-hard-drive-st33000650ss
Western Digital Blue,$65.00+,Western Digital,3.5,SATA 6.0 Gb/s,1,5400,64,https://pcpartpicker.com/product/q3Z2FT/western-digital-internal-hard-drive-wd10ezrz
Seagate EXOS Enterprise,$96.71+,Seagate,3.5,SATA 6.0 Gb/s,4,7200,128,https://pcpartpicker.com/product/J2KcCJ/seagate-exos-enterprise-4-tb-35-7200rpm-internal-hard-drive-st4000nm0035
Toshiba MG08,$298.97 ,Toshiba,3.5,SATA 6.0 Gb/s,16,7200,512,https://pcpartpicker.com/product/gRCFf7/toshiba-mg08-16-tb-35-7200rpm-internal-hard-drive-mg08aca16te
