name,price,manufacturer,size,eps8PinCount,pcie6Plus2PinCount,pcie12PinCount,pcie16Pin12VHPWRCount,sataCount,lengthMm,atx4PinCount,pcie6PinCount,pcie8PinCount,ampMolex4PinCount,outputWattage,efficiencyRating,modularity,color,isFanless,URL
Super Flower Leadex III Gold UP,N/A,Super Flower,ATX,2,2,0,1,6,150,0,0,0,4,650,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/FPtLrH/super-flower-leadex-iii-gold-up-650-w-80-gold-certified-fully-modular-atx-power-supply-sf-650f14ge
Raidmax Vampire,N/A,Raidmax,ATX,1,4,0,0,8,165,0,0,0,6,800,80+ Gold,Semi,N/A,FALSE,https://pcpartpicker.com/product/83fp99/raidmax-power-supply-rx800gh
Antec NE850G M,N/A,Antec,ATX,2,6,0,0,10,140,0,0,0,5,850,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/N4YRsY/antec-ne850g-m-850-w-80-gold-certified-fully-modular-atx-power-supply-ne850g-m-white
SeaSonic PRIME SNOWSILENT,N/A,SeaSonic,ATX,1,4,0,0,6,140,0,0,0,3,650,80+ Platinum,Full,White,FALSE,https://pcpartpicker.com/product/yJgzK8/seasonic-prime-snowsilent-650w-80-platinum-certified-fully-modular-atx-power-supply-ssr-650pd2-snowsilent
SeaSonic PRIME SNOWSILENT,N/A,SeaSonic,ATX,1,2,0,0,6,140,0,0,0,3,550,80+ Gold,Full,White,FALSE,https://pcpartpicker.com/product/dstQzy/seasonic-prime-snowsilent-550w-80-gold-certified-fully-modular-atx-power-supply-ssr-550gd2-snowsilent
be quiet! Pure Power 10 CM,N/A,be quiet!,ATX,1,2,0,0,5,160,0,0,0,2,400,80+ Silver,Semi,N/A,FALSE,https://pcpartpicker.com/product/N7Jkcf/be-quiet-pure-power-10-cm-400w-80-silver-certified-semi-modular-atx-power-supply-bn276
Chieftec Polaris,N/A,Chieftec,ATX,2,2,0,0,6,140,0,0,0,3,550,80+ Gold,Full,Black,FALSE,https://pcpartpicker.com/product/677scf/chieftec-polaris-550-w-80-gold-certified-fully-modular-atx-power-supply-pps-550fc
SeaSonic Platinum,N/A,SeaSonic,ATX,2,6,0,0,10,160,0,0,0,5,860,80+ Platinum,Full,N/A,FALSE,https://pcpartpicker.com/product/mJjG3C/seasonic-power-supply-ss860xp2
Inter-Tech Argus RGB II,$193.75+,Inter-Tech,ATX,1,2,0,0,6,160,0,0,0,3,600,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/PygZxr/inter-tech-argus-rgb-ii-600-w-80-bronze-certified-atx-power-supply-88882146
SeaSonic S12III,N/A,SeaSonic,ATX,1,2,0,0,4,140,0,0,0,3,450,80+ Bronze,No,Black,FALSE,https://pcpartpicker.com/product/JQrmP6/seasonic-s12iii-450-w-80-bronze-certified-atx-power-supply-ssr-450gb3
